conv0/Conv2D 1,3,331,331@0x6febc3b810; 1,96,165,165@0x6febc3b860; none 1;4;13;26;49;
cell_0/comb_iter_0/left/separable_5x5_2/separable_conv2d 1,168,42,42@0x6febc3da20; 1,168,42,42@0x6febc3da70; 131; 138;
cell_0/comb_iter_0/right/Relu 1,168,42,42@0x6febc3d840; 1,168,42,42@0x6febc3dac0; 124; 134;
cell_0/comb_iter_0/right/separable_3x3_1/separable_conv2d/depthwise 1,168,42,42@0x6febc3dac0; 1,168,42,42@0x6febc3db10; 133; 135;
cell_0/comb_iter_0/right/separable_3x3_1/separable_conv2d 1,168,42,42@0x6febc3db10; 1,168,42,42@0x6febc3db60; 134; 136;
cell_0/comb_iter_0/right/separable_3x3_2/separable_conv2d/depthwise 1,168,42,42@0x6febc3db60; 1,168,42,42@0x6febc3dbb0; 135; 137;
cell_0/comb_iter_0/right/separable_3x3_2/separable_conv2d 1,168,42,42@0x6febc3dbb0; 1,168,42,42@0x6febc3dc00; 136; 138;
cell_0/comb_iter_0/combine/add 1,168,42,42@0x6febc3da70;1,168,42,42@0x6febc3dc00; 1,168,42,42@0x6febc3dc50; 132;137; 167;
cell_0/comb_iter_1/left/Relu 1,168,42,42@0x6febc3d840; 1,168,42,42@0x6febc3dca0; 124; 140;
cell_0/comb_iter_1/left/separable_5x5_1/separable_conv2d/depthwise 1,168,42,42@0x6febc3dca0; 1,168,42,42@0x6febc3dcf0; 139; 141;
cell_0/comb_iter_1/left/separable_5x5_1/separable_conv2d 1,168,42,42@0x6febc3dcf0; 1,168,42,42@0x6febc3dd40; 140; 142;
cell_0/comb_iter_1/left/separable_5x5_2/separable_conv2d/depthwise 1,168,42,42@0x6febc3dd40; 1,168,42,42@0x6febc3dd90; 141; 143;
cell_0/comb_iter_1/left/separable_5x5_2/separable_conv2d 1,168,42,42@0x6febc3dd90; 1,168,42,42@0x6febc3dde0; 142; 149;
cell_0/comb_iter_1/right/Relu 1,168,42,42@0x6febc3d840; 1,168,42,42@0x6febc3de30; 124; 145;
cell_0/comb_iter_1/right/separable_3x3_1/separable_conv2d/depthwise 1,168,42,42@0x6febc3de30; 1,168,42,42@0x6febc3de80; 144; 146;
cell_0/comb_iter_1/right/separable_3x3_1/separable_conv2d 1,168,42,42@0x6febc3de80; 1,168,42,42@0x6febc3ded0; 145; 147;
cell_0/comb_iter_1/right/separable_3x3_2/separable_conv2d/depthwise 1,168,42,42@0x6febc3ded0; 1,168,42,42@0x6febc3df20; 146; 148;
cell_0/comb_iter_1/right/separable_3x3_2/separable_conv2d 1,168,42,42@0x6febc3df20; 1,168,42,42@0x6febc3df70; 147; 149;
cell_0/comb_iter_1/combine/add 1,168,42,42@0x6febc3dde0;1,168,42,42@0x6febc3df70; 1,168,42,42@0x6febc3dfc0; 143;148; 167;
cell_0/comb_iter_2/left/AvgPool2D/AvgPool 1,168,42,42@0x6febc3d8e0; 1,168,42,42@0x6febc3e010; 127; 151;
cell_0/comb_iter_2/left/AvgPool2D/AvgPool___tr4cell_0/comb_iter_2/combine/add 1,168,42,42@0x6febc3e010; 1,168,42,42@0x6fd13fe740; 150; 153;
cell_0/final_path_bn/FusedBatchNormV3___tr4cell_0/comb_iter_2/combine/add 1,168,42,42@0x6febc3d840; 1,168,42,42@0x6fd13fe790; 124; 153;
cell_0/comb_iter_2/combine/add 1,168,42,42@0x6fd13fe740;1,168,42,42@0x6fd13fe790; 1,168,42,42@0x6febc3e060; 151;152; 165;
cell_0/comb_iter_3/left/AvgPool2D/AvgPool 1,168,42,42@0x6febc3d840; 1,168,42,42@0x6febc3e0b0; 124; 156;
cell_0/comb_iter_3/right/AvgPool2D/AvgPool 1,168,42,42@0x6febc3d840; 1,168,42,42@0x6febc3e100; 124; 157;
cell_0/comb_iter_3/left/AvgPool2D/AvgPool___tr4cell_0/comb_iter_3/combine/add 1,168,42,42@0x6febc3e0b0; 1,168,42,42@0x6fd13fe7e0; 154; 158;
cell_0/comb_iter_3/right/AvgPool2D/AvgPool___tr4cell_0/comb_iter_3/combine/add 1,168,42,42@0x6febc3e100; 1,168,42,42@0x6fd13fe830; 155; 158;
cell_0/comb_iter_3/combine/add 1,168,42,42@0x6fd13fe7e0;1,168,42,42@0x6fd13fe830; 1,168,42,42@0x6febc3e150; 156;157; 166;
cell_0/comb_iter_4/left/Relu 1,168,42,42@0x6febc3d8e0; 1,168,42,42@0x6febc3e1a0; 127; 160;
cell_0/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,168,42,42@0x6febc3e1a0; 1,168,42,42@0x6febc3e1f0; 159; 161;
cell_0/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,168,42,42@0x6febc3e1f0; 1,168,42,42@0x6febc3e240; 160; 162;
cell_0/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,168,42,42@0x6febc3e240; 1,168,42,42@0x6febc3e290; 161; 163;
