conv0/Conv2D 1,3,224,224@0x7d7ac3b810; 1,32,111,111@0x7d7ac3b860; none 1;4;13;26;49;
cell_0/comb_iter_1/left/separable_5x5_1/separable_conv2d 1,44,28,28@0x7d7ac3dcf0; 1,44,28,28@0x7d7ac3dd40; 140; 142;
cell_0/comb_iter_1/left/separable_5x5_2/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3dd40; 1,44,28,28@0x7d7ac3dd90; 141; 143;
cell_0/comb_iter_1/left/separable_5x5_2/separable_conv2d 1,44,28,28@0x7d7ac3dd90; 1,44,28,28@0x7d7ac3dde0; 142; 149;
cell_0/comb_iter_1/right/Relu 1,44,28,28@0x7d7ac3d840; 1,44,28,28@0x7d7ac3de30; 124; 145;
cell_0/comb_iter_1/right/separable_3x3_1/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3de30; 1,44,28,28@0x7d7ac3de80; 144; 146;
cell_0/comb_iter_1/right/separable_3x3_1/separable_conv2d 1,44,28,28@0x7d7ac3de80; 1,44,28,28@0x7d7ac3ded0; 145; 147;
cell_0/comb_iter_1/right/separable_3x3_2/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3ded0; 1,44,28,28@0x7d7ac3df20; 146; 148;
cell_0/comb_iter_1/right/separable_3x3_2/separable_conv2d 1,44,28,28@0x7d7ac3df20; 1,44,28,28@0x7d7ac3df70; 147; 149;
cell_0/comb_iter_1/combine/add 1,44,28,28@0x7d7ac3dde0;1,44,28,28@0x7d7ac3df70; 1,44,28,28@0x7d7ac3dfc0; 143;148; 167;
cell_0/comb_iter_2/left/AvgPool2D/AvgPool 1,44,28,28@0x7d7ac3d8e0; 1,44,28,28@0x7d7ac3e010; 127; 151;
cell_0/comb_iter_2/left/AvgPool2D/AvgPool___tr4cell_0/comb_iter_2/combine/add 1,44,28,28@0x7d7ac3e010; 1,44,28,28@0x7d7adfa000; 150; 153;
cell_0/final_path_bn/FusedBatchNormV3___tr4cell_0/comb_iter_2/combine/add 1,44,28,28@0x7d7ac3d840; 1,44,28,28@0x7d7adfa050; 124; 153;
cell_0/comb_iter_2/combine/add 1,44,28,28@0x7d7adfa000;1,44,28,28@0x7d7adfa050; 1,44,28,28@0x7d7ac3e060; 151;152; 165;
cell_0/comb_iter_3/left/AvgPool2D/AvgPool 1,44,28,28@0x7d7ac3d840; 1,44,28,28@0x7d7ac3e0b0; 124; 156;
cell_0/comb_iter_3/right/AvgPool2D/AvgPool 1,44,28,28@0x7d7ac3d840; 1,44,28,28@0x7d7ac3e100; 124; 157;
cell_0/comb_iter_3/left/AvgPool2D/AvgPool___tr4cell_0/comb_iter_3/combine/add 1,44,28,28@0x7d7ac3e0b0; 1,44,28,28@0x7d7adfa0a0; 154; 158;
cell_0/comb_iter_3/right/AvgPool2D/AvgPool___tr4cell_0/comb_iter_3/combine/add 1,44,28,28@0x7d7ac3e100; 1,44,28,28@0x7d7adfa0f0; 155; 158;
cell_0/comb_iter_3/combine/add 1,44,28,28@0x7d7adfa0a0;1,44,28,28@0x7d7adfa0f0; 1,44,28,28@0x7d7ac3e150; 156;157; 166;
cell_0/comb_iter_4/left/Relu 1,44,28,28@0x7d7ac3d8e0; 1,44,28,28@0x7d7ac3e1a0; 127; 160;
cell_0/comb_iter_4/left/separable_3x3_1/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3e1a0; 1,44,28,28@0x7d7ac3e1f0; 159; 161;
cell_0/comb_iter_4/left/separable_3x3_1/separable_conv2d 1,44,28,28@0x7d7ac3e1f0; 1,44,28,28@0x7d7ac3e240; 160; 162;
cell_0/comb_iter_4/left/separable_3x3_2/separable_conv2d/depthwise 1,44,28,28@0x7d7ac3e240; 1,44,28,28@0x7d7ac3e290; 161; 163;
cell_0/comb_iter_4/left/separable_3x3_2/separable_conv2d 1,44,28,28@0x7d7ac3e290; 1,44,28,28@0x7d7ac3e2e0; 162; 164;
cell_0/comb_iter_4/combine/add 1,44,28,28@0x7d7ac3e2e0;1,44,28,28@0x7d7ac3d8e0; 1,44,28,28@0x7d7ac3e330; 127;163; 167;
